Model,F1,ROC-AUC,Avg-Prec,Precision,Recall
LightGBM,0.8167,0.93,0.8038,0.9262,0.7304
RF + GraphFeatures,0.8066,0.9421,0.7999,0.9136,0.7221
GAT,0.3592,0.8469,0.3891,0.2481,0.651
VAE,0.3398,0.778,0.3098,0.3398,0.3398
Ensemble (RF+LGB+GAT),0.7415,0.9216,0.7888,0.7415,0.7415
