model,f1,ci_low,ci_high,boot_std
GBM+Structural,0.8265412748171369,0.8086440726440726,0.8451143367432367,0.009266939579816407
GBM-Optuna,0.8240837696335078,0.8056978129941075,0.840627989270941,0.009213152232564232
GBM+PseudoLabels,0.8235294117647058,0.8052205549637865,0.8410381948235026,0.009323368323105574
