Model,F1,ROC-AUC,Avg-Prec,Precision,Recall
GATv2,0.3169,0.8824,0.3761,0.1978,0.7978
GraphSAGEv2,0.698,0.913,0.7203,0.8681,0.5836
DenoisingAE,0.361,0.7923,0.3659,0.2679,0.5531
VAEv2,0.2563,0.7322,0.1609,0.1686,0.5337
