feature,fn_mean,tp_mean,p_value
lf_53,0.24651562058662976,-0.48481503786422003,2.5658442664947445e-125
lf_90,-0.3954170154150931,-0.6794245704736885,1.6918376068395055e-140
af_70,-0.04562198491275235,-0.1229188884565325,2.6500856874744764e-24
