metric,value
TP,787.0
FN,296.0
FP,40.0
precision,0.9516324062877872
recall,0.7266851338873499
fn_prob_mean,0.0139727134191481
tp_prob_mean,0.9952294677689498
fn_degree_mean,1.7972972972972974
tp_degree_mean,2.01143583227446
degree_mannwhitney_p,0.0052800999693100505
